[2017-10-30T21:29:20-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2017-10-30T21:29:28-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-10-30T21:43:58-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-10-30T22:31:57-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-10-30T22:32:45-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2017-10-31T20:52:56-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-11-01T08:15:30-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-11-01T09:15:52-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-11-01T09:15:52-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-11-01T09:53:11-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-11-01T09:53:11-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-11-01T11:44:59-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-11-01T11:44:59-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-11-01T13:26:18-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-11-01T13:26:18-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-11-01T18:17:12-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-11-01T18:17:12-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-11-02T15:40:37-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-11-02T15:40:38-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-11-02T17:00:38-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-11-02T17:00:38-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-11-03T09:14:33-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-11-03T09:14:33-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-11-03T09:44:57-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-11-03T09:44:57-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
